Location,code,name,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity,pop
Republic of Korea,KOR,"Korea, Republic of",Medium,2021,2021.5,25678.628,25626.556,51305.184,527.668,47869837
Aruba,ABW,Aruba,Medium,2021,2021.5,50.828,56.367,107.195,595.528,102897
Afghanistan,AFG,Afghanistan,Medium,2021,2021.5,20434.981,19400.447,39835.428,61.017,25067407
Angola,AGO,Angola,Medium,2021,2021.5,16790.14,17143.471,33933.611,27.219,16095214
Anguilla,AIA,Anguilla,Medium,2021,2021.5,,,15.125,168.056,12256
Albania,ALB,Albania,Medium,2021,2021.5,1462.011,1410.923,2872.934,104.852,3153731
Andorra,AND,Andorra,Medium,2021,2021.5,,,77.354,164.583,73483
United Arab Emirates,ARE,United Arab Emirates,Medium,2021,2021.5,6888.345,3102.738,9991.083,119.511,4104291
Argentina,ARG,Argentina,Medium,2021,2021.5,22254.586,23351.237,45605.823,16.665,38747148
Armenia,ARM,Armenia,Medium,2021,2021.5,1395.993,1572.135,2968.128,104.255,3017661
,ASM,American Samoa,,,,,,,,64051
Antigua and Barbuda,ATG,Antigua and Barbuda,Medium,2021,2021.5,47.678,51.05,98.728,224.382,83039
Australia,AUS,Australia,Medium,2021,2021.5,12841.202,12947.015,25788.217,3.357,20310208
Austria,AUT,Austria,Medium,2021,2021.5,4461.606,4581.466,9043.072,109.734,8291979
Azerbaijan,AZE,Azerbaijan,Medium,2021,2021.5,5109.429,5113.915,10223.344,123.682,8352021
Burundi,BDI,Burundi,Medium,2021,2021.5,6082.857,6172.572,12255.429,477.236,7858791
Belgium,BEL,Belgium,Medium,2021,2021.5,5770.656,5861.678,11632.334,384.159,10398049
Benin,BEN,Benin,Medium,2021,2021.5,6220.142,6230.889,12451.031,110.421,8490301
Burkina Faso,BFA,Burkina Faso,Medium,2021,2021.5,10747.651,10749.446,21497.097,78.571,13933363
Bangladesh,BGD,Bangladesh,Medium,2021,2021.5,84031.706,82271.788,166303.494,1277.587,15328112
Bulgaria,BGR,Bulgaria,Medium,2021,2021.5,3348.364,3548.291,6896.655,63.529,7744591
Bahrain,BHR,Bahrain,Medium,2021,2021.5,1133.875,614.42,1748.295,2300.388,724788
Bahamas,BHS,Bahamas,Medium,2021,2021.5,192.917,203.997,396.914,39.652,323295
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,Medium,2021,2021.5,1597.827,1665.632,3263.459,63.989,3915238
,BLM,Saint Barthelemy,,,,,,,,0
Belarus,BLR,Belarus,Medium,2021,2021.5,4397.814,5045.053,9442.867,46.537,9795287
Belize,BLZ,Belize,Medium,2021,2021.5,201.255,203.66,404.915,17.752,275546
Bermuda,BMU,Bermuda,Medium,2021,2021.5,,,62.092,1241.84,64174
Bolivia (Plurinational State of),BOL,Bolivia,Medium,2021,2021.5,5936.423,5896.513,11832.936,10.923,9182015
Brazil,BRA,Brazil,Medium,2021,2021.5,105101.516,108891.925,213993.441,25.603,186830759
Barbados,BRB,Barbados,Medium,2021,2021.5,139.349,148.359,287.708,669.088,291933
Brunei Darussalam,BRN,Brunei Darussalam,Medium,2021,2021.5,228.948,212.584,441.532,83.782,373831
Bhutan,BTN,Bhutan,Medium,2021,2021.5,414.951,364.949,779.9,20.461,637013
,BVT,Bouvet Island,,,,,,,,0
Botswana,BWA,Botswana,Medium,2021,2021.5,1162.57,1234.67,2397.24,4.23,1835938
,CAF,Central African Republic,,,,,,,,4191429
Canada,CAN,Canada,Medium,2021,2021.5,18897.902,19170.011,38067.913,4.186,32270507
,CCK,Cocos (Keeling) Islands,,,,,,,,0
Switzerland,CHE,Switzerland,Medium,2021,2021.5,4325.447,4390.047,8715.494,220.556,7424389
