country,value,country_name,religion
Afghanistan_christians,30000,Afghanistan,christians
Albania_christians,580000,Albania,christians
Algeria_christians,60000,Algeria,christians
American Samoa_christians,50000,American Samoa,christians
Andorra_christians,70000,Andorra,christians
Angola_christians,17270000,Angola,christians
Anguilla_christians,10000,Anguilla,christians
Antigua and Barbuda_christians,80000,Antigua and Barbuda,christians
Argentina_christians,34420000,Argentina,christians
Armenia_christians,3050000,Armenia,christians
Aruba_christians,100000,Aruba,christians
Australia_christians,14980000,Australia,christians
Austria_christians,6750000,Austria,christians
Azerbaijan_christians,280000,Azerbaijan,christians
Bahamas_christians,330000,Bahamas,christians
Bahrain_christians,180000,Bahrain,christians
Bangladesh_christians,450000,Bangladesh,christians
Barbados_christians,260000,Barbados,christians
Belarus_christians,6830000,Belarus,christians
Belgium_christians,6880000,Belgium,christians
Belize_christians,270000,Belize,christians
Benin_christians,4690000,Benin,christians
Bermuda_christians,50000,Bermuda,christians
Bhutan_christians,5000,Bhutan,christians
Bolivia_christians,9330000,Bolivia,christians
Bosnia and Herzegovina_christians,1970000,Bosnia and Herzegovina,christians
Botswana_christians,1450000,Botswana,christians
Brazil_christians,173300000,Brazil,christians
British Virgin Islands_christians,20000,British Virgin Islands,christians
Brunei_christians,40000,Brunei,christians
Bulgaria_christians,6150000,Bulgaria,christians
Burkina Faso_christians,3710000,Burkina Faso,christians
Burundi_christians,7670000,Burundi,christians
Cambodia_christians,50000,Cambodia,christians
Cameroon_christians,13780000,Cameroon,christians
Canada_christians,23470000,Canada,christians
Cape Verde_christians,440000,Cape Verde,christians
Cayman Islands_christians,50000,Cayman Islands,christians
Central African Republic_christians,3940000,Central African Republic,christians
Chad_christians,4560000,Chad,christians
Chile_christians,15300000,Chile,christians
China_christians,68410000,China,christians
Colombia_christians,42810000,Colombia,christians
Comoros_christians,5000,Comoros,christians
Cook Islands_christians,20000,Cook Islands,christians
Costa Rica_christians,4230000,Costa Rica,christians
Croatia_christians,4110000,Croatia,christians
Cuba_christians,6670000,Cuba,christians
Curacao_christians,140000,Curacao,christians
Cyprus_christians,810000,Cyprus,christians
Czech Republic_christians,2450000,Czech Republic,christians
Denmark_christians,4630000,Denmark,christians
Djibouti_christians,20000,Djibouti,christians
Dominica_christians,70000,Dominica,christians
Dominican Republic_christians,8740000,Dominican Republic,christians
DR Congo_christians,63210000,DR Congo,christians
Ecuador_christians,13610000,Ecuador,christians
Egypt_christians,4120000,Egypt,christians
El Salvador_christians,5460000,El Salvador,christians
Equatorial Guinea_christians,620000,Equatorial Guinea,christians
Eritrea_christians,3310000,Eritrea,christians
Estonia_christians,540000,Estonia,christians
Eswatini_christians,1040000,Eswatini,christians
Ethiopia_christians,52070000,Ethiopia,christians
Falkland Islands_christians,5000,Falkland Islands,christians
Faroe Islands_christians,50000,Faroe Islands,christians
Fiji_christians,550000,Fiji,christians
Finland_christians,4300000,Finland,christians
France_christians,39560000,France,christians
French Guiana_christians,200000,French Guiana,christians
French Polynesia_christians,250000,French Polynesia,christians
Gabon_christians,1150000,Gabon,christians
Gambia_christians,80000,Gambia,christians
Georgia_christians,3850000,Georgia,christians
Germany_christians,56540000,Germany,christians
Ghana_christians,18260000,Ghana,christians
Gibraltar_christians,30000,Gibraltar,christians
Greece_christians,10010000,Greece,christians
Greenland_christians,50000,Greenland,christians
Grenada_christians,100000,Grenada,christians
Guadeloupe_christians,440000,Guadeloupe,christians
Guam_christians,170000,Guam,christians
Guatemala_christians,13690000,Guatemala,christians
Guinea_christians,1090000,Guinea,christians
